STATION,NAME,DATE,TMAX,TMIN
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/12/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/13/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/14/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/15/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/16/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/17/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/18/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/19/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/20/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/22/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/23/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/24/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/26/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/27/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/28/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/29/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/30/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",5/31/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/1/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/2/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/3/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/4/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/5/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/7/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/8/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/9/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/10/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/11/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/12/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/13/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/14/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/15/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/16/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/17/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/18/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/19/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/20/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/21/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/22/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/23/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/24/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/25/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/28/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",6/30/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/1/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/2/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/3/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/4/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/5/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/6/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/8/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/9/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/10/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/11/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/12/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/13/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/14/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/15/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/16/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/19/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/20/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/21/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/22/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/23/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/24/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/25/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/26/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/27/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/28/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/29/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/30/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",7/31/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/1/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/2/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/3/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/4/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/5/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/6/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/7/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/8/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/9/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/10/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/11/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/12/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/13/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/14/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/15/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/16/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/17/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/18/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/19/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/20/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/21/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/22/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/23/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/24/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/25/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/26/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/27/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/28/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/29/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/30/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",8/31/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/1/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/2/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/3/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/4/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/5/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/6/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/7/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/8/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/9/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/10/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/11/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/12/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/13/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/14/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/15/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/16/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/17/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/18/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/19/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/20/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/21/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/22/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/23/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/24/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/25/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/26/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/27/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/28/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/29/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",9/30/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/2/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/3/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/4/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/5/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/6/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/7/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/8/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/9/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",10/10/2009,,
